2023-04-28	23:51:02	06e4f74e-8450-4202-9014-cfc5f249d80b	GET 	 undefined 	 /css/style.css
2023-04-28	23:51:05	1f9b3ad1-c240-464a-81c0-826242b3902b	GET 	 undefined 	 /subdir/testdwd
2023-04-28	23:51:05	f1145346-0ceb-48df-bb60-2a7d04a5e2a6	GET 	 undefined 	 /subdir/css/style.css
2023-04-28	23:55:10	4445287b-4796-48d7-911b-457bcd7cfdf7	GET 	 undefined 	 /subdir/testdwd
2023-04-28	23:55:10	7af734f9-77e9-4f0d-943b-daf88c6fe123	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:10	761cabcd-8497-4759-8b78-873c5b77d43c	GET 	 undefined 	 /subdir/testdwd/css/style.css
2023-04-28	23:55:10	106fc06c-50cb-4ce8-a687-095bbfe072d7	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:11	e0e609fe-378f-4158-bbea-475faba482eb	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:11	169c3443-8123-4256-bc3c-72e83150a196	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:11	9467cab2-c8e4-4ee2-88a5-a592a56a7ba0	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:11	e3d1ca37-2691-4e5d-ba1f-f0044c94087f	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:11	f729c149-cd3c-41a0-b5f4-451087dfb714	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:11	bfc9bcca-436f-4b60-90db-e9e62cda4f13	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:12	d93906e9-e91b-4483-a206-a9153581034d	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:12	4a3e4dfa-25a9-49a5-9bf6-4241708956dd	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:13	7437395f-b4f2-4b5a-b8b9-f9c23524fe20	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:13	29ff4861-76c2-4a4c-bad5-0f0bfb477245	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:19	48dcdb27-70e3-4b23-a57c-1c89aa49cea5	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:19	b51e618e-207d-4867-a383-9eb0281bc6fb	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:19	1eb9f643-a19e-4bea-aca5-b53a3354d66c	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:19	df904d84-a06e-468d-8224-2fc9f44f0077	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:19	0445f087-fc6e-404f-a8bd-4aad8f35b63a	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:19	f51b94d9-6b4f-4578-987e-27d572883084	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:25	9d2693dc-b499-4974-b61c-d227ce0d16c9	GET 	 undefined 	 /subdir/testdwd/
2023-04-28	23:55:25	9fe1d7ea-4dae-41d1-a91c-3822e15a35f5	GET 	 undefined 	 /subdir/testdwd/css/style.css/
2023-04-28	23:55:27	d69e55aa-ab52-4afb-9e1a-cd3d5e8d1936	GET 	 undefined 	 /subdir/testdwd/
